Latitude,Longitude,
37.874769,-122.282167,1
37.873116,-122.277977,0
37.874748,-122.28028,0
37.874814,-122.281904,0
37.873202,-122.277945,0
37.873306,-122.277932,0
37.873415,-122.278048,0
37.874827,-122.28178,0
37.873399,-122.278169,1
37.874835,-122.281662,0
37.873329,-122.278278,0
37.873894,-122.281357,0
37.873335,-122.278412,0
37.874801,-122.281335,0
37.873318,-122.278518,1
37.873309,-122.278676,0
37.874704,-122.2813151,0
37.873318,-122.278875,0
37.874501,-122.281314,0
37.873284,-122.279016,0
37.874272,-122.281287,1
37.873227,-122.279201,0
37.87324,-122.279365,0
37.4263,-122.281485,0
37.873126,-122.279489,0
37.874225,-122.281673,0
37.873266,-122.279647,0
37.874242,-122.281786,0
37.873251,-122.279819,1
37.873067,-122.279792,0
37.874162,-122.282038,0
37.872969,-122.279806,0
37.874242,-122.282075,0
37.8732,-122.280329,1
37.874236,-122.28075,0
37.873101,-122.280286,0
37.872555,-122.280552,0
37.874426,-122.2802086,0
37.872549,-122.280669,0
37.87256,-122.280855,1
37.874898,-122.281024,0
37.872494,-122.281,0
37.8749,-122.280843,0
37.872655,-122.281025,0
37.872558,-122.281208,0
37.874928,-122.280709,0
37.872496,-122.281367,0
37.87246,-122.28157,1
37.874945,-122.280607,0
37.872449,-122.281708,0
37.874955,-122.28052,0
37.87238,-122.281916,0
37.872549,-122.281978,0
37.874962,-122.280399,0
37.87271,-122.28193,1
37.873709,-122.282042,0
37.873828,-122.282048,0
37.874732,-122.280494,0
37.873829,-122.281822,0
37.874654,-122.280407,0
37.873884,-122.281694,0
37.874556,-122.28045,0
37.873863,-122.281538,0
37.87443,-122.280442,0
37.873875,-122.28142,1
37.873846,-122.281265,0
37.873897,-122.281168,0
37.873977,-122.281007,0
37.874358,-122.280631,0
37.873977,-122.280857,0
37.874324,-122.280749,0
37.873986,-122.280723,0
37.874348,-122.280849,1
37.874032,-122.28061,0
37.874096,-122.280369,0
37.874335,-122.280986,0
37.873947,-122.280374,0
37.874564,-122.28097,0
37.873829,-122.28032,0
37.874643,-122.280975,0
37.873723,-122.28032,0
37.873499,-122.280235,1
37.874995,-122.280087,0
37.87346,-122.280401,0
37.873456,-122.280551,0
37.875024,-122.279953,0
37.873507,-122.280669,0
37.875024,-122.279818,0
37.87352,-122.28083,0
37.87349,-122.280943,0
37.875,-122.279689,1
37.873405,-122.281093,0
37.873435,-122.281232,0
37.87335,-122.281361,0
37.873532,-122.279913,0
37.873579,-122.279795,0
37.873554,-122.279639,1
37.873626,-122.279494,0
37.875075,-122.27956,0
37.873634,-122.279371,0
37.873647,-122.279221,0
37.873655,-122.279113,0
37.873685,-122.278985,0
37.873702,-122.278872,1
37.875075,-122.279387,0
37.873731,-122.278738,0
37.875084,-122.279253,0
37.873731,-122.278625,0
37.875101,-122.279124,0
37.873744,-122.278507,0
37.875131,-122.278984,0
37.873731,-122.278389,0
37.873774,-122.278271,0
37.873727,-122.278132,0
37.875143,-122.278833,1
37.873744,-122.278003,0
37.875169,-122.27872,0
37.87393,-122.278041,0
37.875203,-122.278575,0
37.874015,-122.278046,0
37.874927,-122.278192,0
37.874113,-122.278057,0
37.874735,-122.278106,1
37.874663,-122.278241,0
37.87465,-122.278381,0
37.87424,-122.278035,0
37.874324,-122.27811,0
37.874646,-122.278505,0
37.874633,-122.278661,0
37.874422,-122.278089,0
37.874295,-122.278319,0
37.874616,-122.278784,0
37.874248,-122.278459,0
37.874599,-122.2708903,1
37.874257,-122.278647,0
37.874591,-122.279054,0
37.874141,-122.278759,0
37.874574,-122.279204,0
37.874557,-122.279328,0
37.874155,-122.278906,1
37.874217,-122.279065,0
37.874527,-122.279468,0
37.874182,-122.279247,0
37.874514,-122.279608,0
37.874536,-122.279748,0
37.874128,-122.279372,0
37.874101,-122.279576,0
37.87448,-122.279877,1
37.874132,-122.279707,0
37.874468,-122.280012,0
37.874146,-122.279922,0
37.873989,-122.27986,0
37.873778,-122.279843,1
37.874684,-122.280006,0
37.874799,-122.280017,0
