Address,Latitude,Longitude,
"1073 Sacramento St., Berkeley, CA 94702",37.874769,-122.282167,1
"1812 McGee Ave, Berkeley, CA 94703",37.873116,-122.277977,
"1508 Virginia St., Berkeley CA 94703",37.874748,-122.28028,
"1510 Virginia St. Berkeley, CA 94703",37.874814,-122.281904,
"1810 McGee Ave, Berkeley, CA 94703",37.873202,-122.277945,
"1808 McGee Ave, Berkeley, CA 94703",37.873306,-122.277932,
"1642 Delaware St, Berkeley, CA 94703",37.873415,-122.278048,
"1512 Virginia St. Berkeley, CA 94703",37.874827,-122.28178,
"1640 Delaware St, Berkeley, CA 94703",37.873399,-122.278169,1
"1514 Virignia St. Berkeley, CA 94703",37.874835,-122.281662,
"1638 Delaware St, Berkeley, CA 94703",37.873329,-122.278278,
"1520 Virginia St. Berkeley, CA 94703",37.873894,-122.281357,
"1636 Delaware St, Berkeley, CA 94703",37.873335,-122.278412,
"1702 Eola St., Berkeley, CA 94703",37.874801,-122.281335,
"1634 Delaware St, Berkeley, CA 94703",37.873318,-122.278518,1
"1632 Delaware St, Berkeley, CA 94703",37.873309,-122.278676,
"1704 Eola St. Berkeley, CA 94703",37.874704,-122.2813151,
"1622 Delaware St, Berkeley, CA 94703",37.873318,-122.278875,
"1712 Eola St. Berkeley, CA 94703",37.874501,-122.281314,
"1620 Delaware St, Berkeley, CA 94703",37.873284,-122.279016,
"1529 Francisco St. Berkeley, CA 94703",37.874272,-122.281287,1
"1616 Delaware St, Berkeley, CA 94703",37.873227,-122.279201,
"1612 Delaware St, Berkeley, CA 94703",37.87324,-122.279365,
1521 Francisco St. Berkeley CA 94703,37.4263,-122.281485,
"1608 Delaware St, Berkeley, CA 94703",37.873126,-122.279489,
"1517 Francisco St. Berkeley, CA 94703",37.874225,-122.281673,
"1604 Delaware St, Berkeley, CA 94703",37.873266,-122.279647,
"1515 Francisco St. Berkeley, CA 94703",37.874242,-122.281786,
"1600 Delaware St, Berkeley, CA 94703",37.873251,-122.279819,1
"1807 California St, Berkeley, CA 94703",37.873067,-122.279792,
"1501 Francisco St. Berkeley, CA 94703",37.874162,-122.282038,
"1809 California St, Berkeley, CA 94703",37.872969,-122.279806,
"1721 Sacramento St. Berkeley, CA 94702",37.874242,-122.282075,
"1800 California St, Berkeley, CA 94703",37.8732,-122.280329,1
"1719 Sacramento St. Berkeley, CA 94702",37.874236,-122.28075,
"1802 California St, Berkeley, CA 94703",37.873101,-122.280286,
"1537 Hearst Ave, Berkeley, CA 94703",37.872555,-122.280552,
1715 Sacramento St. Berkeley CA 94702,37.874426,-122.2802086,
"1535 Hearst Ave, Berkeley, CA 94703",37.872549,-122.280669,
"1533 Hearst Ave, Berkeley, CA 94703",37.87256,-122.280855,1
